Temperature,Humidity,Sunlight_Hours,Water_Frequency,Soil_Type,Fertilizer_Type,Growth_Stage
26.8,63.9,9.6,6,clay,organic,Fruiting
21.2,48.2,11.1,3,loamy,chemical,Flowering
21.8,83.1,4.2,5,sandy,organic,Seedling
23.9,69.7,6.5,5,loamy,organic,Vegetative
18.3,83.8,5.9,6,loamy,none,Seedling
26.7,53.1,12.5,4,loamy,organic,Fruiting
25.2,55.9,7.6,4,loamy,organic,Vegetative
24.8,61.5,12.3,5,clay,chemical,Fruiting
22.2,60.3,6.5,5,loamy,chemical,Vegetative
21.1,58.3,9.0,5,loamy,organic,Flowering
25.0,50.3,8.7,3,loamy,chemical,Flowering
19.6,73.0,4.4,5,loamy,none,Seedling
19.1,77.5,5.5,6,loamy,organic,Seedling
21.7,58.4,8.4,5,loamy,chemical,Flowering
23.6,84.1,4.0,5,loamy,organic,Seedling
22.1,65.2,4.3,5,loamy,organic,Seedling
24.0,61.7,8.2,4,clay,organic,Vegetative
25.0,53.0,11.2,4,loamy,chemical,Flowering
22.0,53.8,11.5,5,loamy,organic,Flowering
23.2,56.2,8.0,6,clay,organic,Vegetative
26.4,66.8,7.6,4,clay,chemical,Vegetative
22.6,47.8,11.6,4,loamy,chemical,Flowering
21.7,45.3,8.6,5,loamy,organic,Flowering
22.2,68.3,7.0,6,loamy,organic,Vegetative
18.5,66.8,6.0,6,sandy,organic,Seedling
21.9,83.5,6.0,7,sandy,none,Seedling
25.7,49.5,10.5,4,loamy,chemical,Flowering
25.1,61.1,7.8,6,clay,organic,Vegetative
26.1,57.1,6.2,6,clay,organic,Vegetative
26.6,65.9,6.6,6,loamy,organic,Vegetative
22.7,68.5,6.2,4,clay,chemical,Vegetative
20.9,46.3,11.2,5,loamy,organic,Flowering
21.2,58.2,10.1,5,loamy,chemical,Flowering
24.4,47.7,11.9,4,loamy,organic,Flowering
25.4,58.6,8.8,6,clay,chemical,Vegetative
24.9,62.4,7.0,4,loamy,organic,Vegetative
23.5,64.4,6.3,4,loamy,chemical,Vegetative
22.6,67.0,4.5,5,loamy,none,Seedling
23.6,66.7,8.7,4,loamy,chemical,Vegetative
20.3,56.1,10.4,5,loamy,chemical,Flowering
25.8,53.6,9.6,5,clay,organic,Fruiting
22.5,65.2,6.4,7,loamy,none,Seedling
27.5,54.6,13.1,5,clay,organic,Fruiting
26.2,55.3,6.2,4,loamy,chemical,Vegetative
30.0,63.5,10.3,5,clay,chemical,Fruiting
26.0,61.4,8.9,4,clay,organic,Vegetative
23.1,62.2,8.2,4,loamy,organic,Vegetative
20.2,70.6,5.5,6,loamy,none,Seedling
23.5,73.7,5.0,7,loamy,organic,Seedling
20.2,78.4,6.9,7,loamy,organic,Seedling
24.9,46.3,9.1,5,loamy,chemical,Flowering
24.7,60.2,13.7,5,loamy,chemical,Fruiting
23.3,56.6,8.0,5,clay,organic,Vegetative
21.2,76.7,6.2,7,sandy,none,Seedling
27.0,62.1,12.2,6,clay,organic,Fruiting
22.9,56.5,6.2,4,loamy,chemical,Vegetative
25.5,59.3,13.1,6,loamy,organic,Fruiting
25.9,54.0,13.4,5,loamy,chemical,Fruiting
28.9,61.0,12.7,6,loamy,chemical,Fruiting
27.2,60.6,6.5,5,clay,organic,Vegetative
23.0,69.5,6.8,6,clay,organic,Vegetative
19.5,74.9,6.4,5,sandy,organic,Seedling
21.3,77.3,7.0,7,sandy,organic,Seedling
22.4,70.6,5.7,5,loamy,organic,Seedling
18.2,69.5,5.0,6,sandy,organic,Seedling
26.7,56.6,12.5,5,clay,chemical,Fruiting
22.7,82.1,5.6,5,loamy,organic,Seedling
25.2,59.4,7.3,5,clay,organic,Vegetative
25.2,55.9,8.4,6,clay,chemical,Vegetative
24.3,68.1,6.6,5,clay,organic,Vegetative
25.9,59.4,7.3,4,clay,organic,Vegetative
19.9,79.0,6.6,5,loamy,none,Seedling
26.1,51.0,10.3,6,clay,chemical,Fruiting
21.6,66.4,5.3,7,loamy,none,Seedling
20.2,81.3,6.9,7,loamy,organic,Seedling
27.6,56.8,7.5,5,loamy,chemical,Vegetative
19.5,76.7,4.5,6,sandy,organic,Seedling
18.5,65.5,4.9,7,sandy,organic,Seedling
28.0,57.8,13.3,5,loamy,organic,Fruiting
21.7,56.2,9.9,5,loamy,organic,Flowering
27.0,61.9,10.7,4,loamy,chemical,Fruiting
21.9,84.7,4.2,7,loamy,none,Seedling
23.8,55.1,10.5,4,loamy,organic,Flowering
22.8,76.5,5.2,6,sandy,organic,Seedling
27.6,56.2,6.7,4,loamy,chemical,Vegetative
28.9,56.9,9.2,5,clay,organic,Fruiting
24.4,50.5,10.1,5,loamy,chemical,Fruiting
21.9,75.6,6.4,7,sandy,none,Seedling
26.3,50.9,10.4,5,loamy,organic,Fruiting
24.8,46.4,8.3,3,loamy,organic,Flowering
22.4,66.2,8.2,6,loamy,chemical,Vegetative
26.9,67.9,8.1,6,loamy,organic,Vegetative
20.8,66.5,6.0,5,loamy,none,Seedling
27.3,68.4,6.6,6,loamy,organic,Vegetative
27.9,52.9,12.1,4,clay,chemical,Fruiting
23.0,54.7,8.7,3,loamy,chemical,Flowering
26.1,56.4,7.4,4,clay,organic,Vegetative
24.1,57.0,10.5,5,loamy,organic,Fruiting
22.9,68.6,6.5,7,sandy,organic,Seedling
18.7,74.9,6.2,7,loamy,none,Seedling
26.8,62.8,8.0,5,loamy,chemical,Vegetative
23.8,66.7,5.4,7,sandy,organic,Seedling
22.0,52.7,8.9,3,loamy,organic,Flowering
21.7,78.9,4.8,5,sandy,none,Seedling
20.1,49.9,11.4,5,loamy,chemical,Flowering
22.2,47.5,8.7,3,loamy,chemical,Flowering
29.6,60.7,13.8,4,loamy,organic,Fruiting
27.9,64.0,12.2,6,clay,organic,Fruiting
28.7,52.1,11.9,4,loamy,chemical,Fruiting
26.3,54.1,9.4,6,loamy,chemical,Fruiting
22.6,56.5,8.4,5,clay,chemical,Vegetative
23.6,57.2,10.4,3,loamy,chemical,Flowering
22.0,65.2,5.9,6,sandy,organic,Seedling
29.5,51.7,13.4,6,loamy,organic,Fruiting
24.5,55.9,11.4,5,loamy,organic,Flowering
25.9,64.1,13.8,5,loamy,organic,Fruiting
18.1,77.4,4.4,7,loamy,organic,Seedling
19.4,66.1,6.7,7,sandy,none,Seedling
23.5,52.8,9.1,3,loamy,organic,Flowering
23.4,70.5,5.5,7,sandy,none,Seedling
23.1,66.9,6.0,5,loamy,organic,Vegetative
26.6,53.0,13.9,6,clay,organic,Fruiting
26.8,59.5,9.5,5,loamy,organic,Fruiting
29.0,51.9,9.7,5,loamy,chemical,Fruiting
24.3,60.2,8.4,6,loamy,chemical,Vegetative
26.1,50.8,10.1,4,clay,organic,Fruiting
24.7,69.8,6.1,4,loamy,organic,Vegetative
18.0,72.0,4.6,6,sandy,organic,Seedling
21.1,55.3,9.6,4,loamy,organic,Flowering
24.6,58.2,10.3,3,loamy,organic,Flowering
21.1,82.2,4.1,5,loamy,none,Seedling
24.7,52.7,11.1,5,loamy,organic,Fruiting
26.2,63.2,6.8,5,clay,organic,Vegetative
21.0,76.1,4.5,7,sandy,none,Seedling
24.7,57.1,13.0,5,clay,chemical,Fruiting
21.0,45.1,12.0,5,loamy,chemical,Flowering
22.6,59.3,11.5,5,loamy,chemical,Flowering
24.7,65.9,7.0,5,loamy,chemical,Vegetative
26.7,57.7,7.1,5,loamy,chemical,Vegetative
24.4,55.6,13.7,5,clay,chemical,Fruiting
29.0,62.5,9.9,4,clay,organic,Fruiting
23.8,48.6,8.5,4,loamy,organic,Flowering
24.2,68.4,7.5,6,loamy,chemical,Vegetative
21.4,48.7,10.5,4,loamy,organic,Flowering
24.3,54.1,10.3,4,loamy,chemical,Flowering
27.7,60.3,6.7,4,loamy,chemical,Vegetative
20.0,47.9,12.0,3,loamy,chemical,Flowering
21.4,48.7,10.7,4,loamy,chemical,Flowering
25.6,61.6,7.4,6,loamy,chemical,Vegetative
26.4,62.6,6.5,4,clay,chemical,Vegetative
28.1,58.7,12.7,6,loamy,organic,Fruiting
24.8,56.6,8.3,4,clay,organic,Vegetative
25.8,55.4,11.3,3,loamy,organic,Flowering
19.0,79.5,4.3,6,sandy,none,Seedling
28.6,62.8,12.1,4,loamy,organic,Fruiting
24.9,64.7,9.0,6,clay,chemical,Vegetative
27.6,58.6,8.0,6,clay,organic,Vegetative
21.7,79.1,6.3,7,sandy,none,Seedling
24.6,63.3,11.3,5,loamy,organic,Fruiting
23.5,57.0,6.2,5,loamy,organic,Vegetative
25.7,51.4,9.9,5,loamy,chemical,Fruiting
24.6,50.2,11.3,5,clay,chemical,Fruiting
29.9,61.5,13.4,5,loamy,chemical,Fruiting
22.9,75.3,5.1,6,sandy,none,Seedling
18.2,67.8,6.2,7,loamy,organic,Seedling
21.9,46.1,10.2,4,loamy,chemical,Flowering
21.1,82.2,4.9,7,loamy,organic,Seedling
21.9,49.0,10.9,3,loamy,organic,Flowering
23.7,49.8,9.1,5,loamy,chemical,Flowering
19.0,80.2,6.7,7,loamy,organic,Seedling
23.1,51.2,9.9,5,loamy,organic,Flowering
26.5,55.0,9.8,5,clay,chemical,Fruiting
23.2,57.3,6.1,5,clay,organic,Vegetative
21.7,68.8,4.0,7,loamy,none,Seedling
22.7,84.7,6.8,6,loamy,none,Seedling
23.8,58.3,8.7,6,loamy,chemical,Vegetative
23.6,84.4,6.2,6,sandy,organic,Seedling
25.2,55.3,11.1,6,clay,organic,Fruiting
23.3,80.0,6.3,5,loamy,organic,Seedling
24.7,55.9,11.4,4,loamy,chemical,Flowering
21.8,54.2,8.2,5,loamy,chemical,Flowering
21.7,54.9,8.6,4,loamy,chemical,Flowering
18.0,84.0,5.4,5,sandy,organic,Seedling
25.9,53.7,11.7,5,loamy,chemical,Fruiting
22.6,78.4,4.9,5,sandy,none,Seedling
29.4,62.7,9.4,4,loamy,chemical,Fruiting
24.6,65.9,8.4,6,clay,chemical,Vegetative
24.7,56.6,8.7,3,loamy,organic,Flowering
22.4,58.1,8.4,4,loamy,organic,Vegetative
22.5,57.8,8.6,4,clay,organic,Vegetative
22.0,54.9,8.3,3,loamy,chemical,Flowering
23.5,57.2,10.0,3,loamy,organic,Flowering
18.1,73.8,4.1,5,sandy,organic,Seedling
24.5,47.5,9.8,5,loamy,organic,Flowering
27.3,67.7,8.5,6,clay,chemical,Vegetative
23.3,84.5,6.1,5,sandy,none,Seedling
20.0,76.5,5.7,5,loamy,none,Seedling
28.0,51.0,12.2,4,loamy,chemical,Fruiting
28.1,59.7,10.2,6,clay,organic,Fruiting
21.0,84.0,4.5,5,loamy,organic,Seedling
22.4,53.1,10.3,3,loamy,chemical,Flowering
27.0,53.3,12.1,5,clay,chemical,Fruiting
25.5,53.8,8.8,5,loamy,organic,Flowering
27.7,56.8,9.6,6,clay,chemical,Fruiting
24.2,48.3,8.9,5,loamy,organic,Flowering
21.9,76.9,6.4,7,loamy,organic,Seedling
24.4,53.0,12.0,4,loamy,organic,Flowering
23.2,59.1,11.5,4,loamy,organic,Flowering
22.6,46.5,8.8,4,loamy,organic,Flowering
24.5,58.4,11.4,5,clay,chemical,Fruiting
27.4,54.6,12.5,4,loamy,chemical,Fruiting
22.3,57.5,11.6,4,loamy,chemical,Flowering
25.5,64.9,8.6,6,loamy,organic,Vegetative
23.5,48.9,8.9,4,loamy,chemical,Flowering
24.0,64.3,10.5,4,clay,organic,Fruiting
22.4,76.8,5.7,7,loamy,none,Seedling
23.0,56.1,9.3,5,loamy,organic,Flowering
23.8,78.4,7.0,5,loamy,none,Seedling
24.6,46.6,10.7,3,loamy,organic,Flowering
26.3,61.5,6.3,5,loamy,chemical,Vegetative
29.2,64.0,11.9,5,clay,organic,Fruiting
28.8,63.9,13.5,5,clay,chemical,Fruiting
27.0,61.1,10.2,4,loamy,chemical,Fruiting
25.8,51.7,9.5,6,clay,chemical,Fruiting
18.8,82.9,6.0,5,sandy,none,Seedling
27.3,59.6,8.3,4,loamy,organic,Vegetative
24.2,47.1,10.5,5,loamy,chemical,Flowering
18.4,82.5,6.0,7,loamy,organic,Seedling
21.0,85.0,5.4,6,loamy,organic,Seedling
25.9,51.5,11.2,5,loamy,organic,Flowering
27.9,65.4,7.3,6,loamy,organic,Vegetative
21.1,67.3,4.5,6,sandy,organic,Seedling
24.1,55.6,12.4,5,loamy,organic,Fruiting
20.2,57.6,10.3,4,loamy,chemical,Flowering
29.0,55.0,13.7,4,clay,organic,Fruiting
24.4,69.3,8.6,5,clay,organic,Vegetative
21.6,58.6,11.3,3,loamy,chemical,Flowering
26.8,64.1,8.6,6,clay,chemical,Vegetative
24.1,50.1,13.1,5,loamy,organic,Fruiting
25.7,54.9,11.6,4,loamy,chemical,Flowering
22.2,59.5,8.8,6,loamy,chemical,Vegetative
25.1,69.3,8.7,4,clay,chemical,Vegetative
22.6,81.9,4.3,7,sandy,organic,Seedling
21.7,52.6,8.7,4,loamy,organic,Flowering
20.2,79.1,5.3,6,loamy,none,Seedling
27.6,65.1,8.0,5,clay,organic,Vegetative
20.2,57.4,10.8,5,loamy,chemical,Flowering
27.9,62.4,10.5,4,clay,organic,Fruiting
20.1,75.9,4.7,6,sandy,none,Seedling
19.5,84.7,4.9,7,sandy,organic,Seedling
24.6,52.5,11.2,3,loamy,organic,Flowering
24.4,62.1,6.8,4,clay,chemical,Vegetative
22.2,69.6,8.5,4,clay,chemical,Vegetative
23.8,66.6,5.1,5,sandy,none,Seedling
24.1,55.4,9.8,5,loamy,chemical,Flowering
29.2,53.0,11.1,5,clay,organic,Fruiting
19.6,81.8,5.6,6,sandy,none,Seedling
25.1,58.0,8.8,5,clay,chemical,Vegetative
22.2,72.8,4.5,5,sandy,organic,Seedling
25.8,50.4,11.2,4,clay,chemical,Fruiting
25.9,62.6,7.9,6,loamy,chemical,Vegetative
24.7,55.2,6.3,6,clay,chemical,Vegetative
25.9,59.2,12.8,5,clay,organic,Fruiting
25.7,58.7,12.0,5,loamy,organic,Flowering
21.1,55.6,10.7,4,loamy,chemical,Flowering
24.8,58.4,9.8,4,loamy,chemical,Flowering
22.5,66.8,8.6,6,clay,chemical,Vegetative
23.3,57.8,7.8,5,loamy,chemical,Vegetative
27.6,52.5,10.0,4,clay,chemical,Fruiting
25.7,66.3,6.4,5,loamy,chemical,Vegetative
27.9,67.0,7.1,4,loamy,organic,Vegetative
25.6,54.5,10.3,3,loamy,chemical,Flowering
22.1,48.2,8.1,3,loamy,organic,Flowering
24.1,56.5,8.9,4,loamy,chemical,Flowering
21.5,68.0,4.7,7,sandy,none,Seedling
20.6,67.0,5.1,5,loamy,organic,Seedling
21.6,72.1,6.1,6,sandy,organic,Seedling
23.5,69.6,4.5,6,loamy,none,Seedling
27.6,60.7,8.6,5,clay,organic,Vegetative
21.1,66.5,5.2,5,loamy,none,Seedling
27.8,61.6,10.3,6,loamy,organic,Fruiting
21.6,48.6,12.0,4,loamy,chemical,Flowering
21.6,77.7,4.3,5,loamy,none,Seedling
22.4,45.1,11.4,4,loamy,organic,Flowering
21.2,45.2,10.2,4,loamy,organic,Flowering
24.5,54.5,9.1,6,clay,organic,Fruiting
22.2,46.0,11.7,4,loamy,organic,Flowering
24.0,47.1,11.2,4,loamy,chemical,Flowering
25.7,54.4,11.1,3,loamy,chemical,Flowering
24.3,60.7,9.6,6,loamy,chemical,Fruiting
23.6,66.2,7.6,6,loamy,chemical,Vegetative
28.8,58.2,13.5,5,clay,chemical,Fruiting
23.7,55.6,7.9,6,loamy,chemical,Vegetative
26.2,59.6,10.2,4,clay,organic,Fruiting
18.2,67.1,5.6,5,sandy,organic,Seedling
25.2,48.1,10.0,3,loamy,chemical,Flowering
22.8,61.9,8.8,6,loamy,chemical,Vegetative
26.9,61.0,10.3,4,loamy,organic,Fruiting
24.8,58.2,8.7,3,loamy,organic,Flowering
27.7,55.6,11.4,4,loamy,chemical,Fruiting
21.2,54.3,11.0,3,loamy,chemical,Flowering
27.7,52.5,11.6,6,clay,chemical,Fruiting
20.4,70.5,5.0,6,sandy,organic,Seedling
27.7,52.7,12.1,5,loamy,organic,Fruiting
21.3,59.0,10.0,4,loamy,organic,Flowering
22.4,47.3,9.9,4,loamy,chemical,Flowering
27.1,58.1,13.7,4,loamy,organic,Fruiting
18.8,84.2,4.7,5,sandy,organic,Seedling
22.8,83.1,4.5,6,loamy,none,Seedling
24.8,60.0,10.3,4,loamy,organic,Flowering
22.2,73.4,6.5,7,loamy,organic,Seedling
23.0,65.5,5.9,6,loamy,none,Seedling
27.9,57.4,8.0,5,loamy,chemical,Vegetative
25.2,54.9,9.6,5,clay,organic,Fruiting
18.5,65.8,4.3,5,loamy,organic,Seedling
24.9,66.1,7.6,4,clay,organic,Vegetative
23.6,51.4,11.2,4,loamy,organic,Flowering
25.8,55.4,13.2,6,loamy,chemical,Fruiting
22.0,46.7,8.6,3,loamy,chemical,Flowering
27.2,59.5,13.3,6,clay,organic,Fruiting
21.8,51.6,11.4,5,loamy,chemical,Flowering
24.6,64.4,12.4,5,clay,chemical,Fruiting
25.3,60.9,8.6,4,clay,chemical,Vegetative
23.0,66.5,7.8,5,loamy,organic,Vegetative
29.2,61.0,13.1,6,clay,chemical,Fruiting
23.8,61.3,7.3,4,loamy,organic,Vegetative
24.0,46.8,11.8,4,loamy,organic,Flowering
23.5,77.4,5.2,5,loamy,none,Seedling
26.4,50.7,13.1,5,clay,organic,Fruiting
18.1,69.9,5.1,6,sandy,organic,Seedling
25.7,65.7,7.7,5,loamy,organic,Vegetative
22.4,75.8,4.5,7,loamy,none,Seedling
18.3,75.3,4.6,6,sandy,organic,Seedling
22.2,59.7,8.7,5,loamy,organic,Vegetative
28.6,52.7,12.3,6,loamy,chemical,Fruiting
25.4,61.6,8.1,4,clay,organic,Vegetative
25.8,57.9,11.9,4,loamy,chemical,Flowering
19.4,65.5,5.6,5,loamy,organic,Seedling
29.4,59.2,12.0,6,loamy,organic,Fruiting
21.1,77.2,6.2,6,loamy,organic,Seedling
29.2,56.0,11.7,5,clay,chemical,Fruiting
27.2,55.2,6.5,6,loamy,organic,Vegetative
20.1,46.0,9.1,3,loamy,chemical,Flowering
24.2,46.0,10.9,4,loamy,chemical,Flowering
21.0,46.4,9.4,4,loamy,chemical,Flowering
27.8,69.1,7.4,4,clay,organic,Vegetative
21.1,45.3,8.4,5,loamy,organic,Flowering
23.2,63.8,6.9,6,loamy,organic,Vegetative
25.5,60.5,11.7,4,clay,chemical,Fruiting
24.7,62.8,7.1,6,loamy,chemical,Vegetative
23.6,67.7,4.1,6,loamy,organic,Seedling
18.2,77.8,6.6,6,sandy,organic,Seedling
22.7,79.8,5.1,7,sandy,organic,Seedling
27.7,70.0,8.9,5,loamy,chemical,Vegetative
23.8,69.1,7.8,6,clay,chemical,Vegetative
21.1,65.9,6.0,7,sandy,none,Seedling
27.2,64.8,7.5,6,loamy,chemical,Vegetative
20.5,72.8,5.0,7,loamy,organic,Seedling
24.9,58.2,11.4,5,loamy,chemical,Flowering
23.5,77.8,4.4,5,loamy,organic,Seedling
23.9,60.5,8.9,5,clay,organic,Vegetative
19.3,82.3,6.8,6,sandy,organic,Seedling
22.8,80.8,6.8,7,loamy,organic,Seedling
26.8,57.2,12.2,5,loamy,chemical,Fruiting
28.6,54.8,11.4,5,clay,chemical,Fruiting
24.7,62.2,11.7,4,clay,organic,Fruiting
18.0,66.9,4.2,6,sandy,none,Seedling
24.7,63.8,13.6,5,loamy,chemical,Fruiting
24.0,54.1,11.2,5,loamy,organic,Flowering
20.8,53.3,9.1,4,loamy,organic,Flowering
26.7,59.9,7.8,6,clay,chemical,Vegetative
24.9,58.8,13.4,5,clay,organic,Fruiting
28.4,62.4,11.2,4,clay,chemical,Fruiting
25.7,65.6,9.0,4,loamy,organic,Vegetative
23.6,64.0,8.0,4,loamy,chemical,Vegetative
22.0,69.5,6.5,6,clay,chemical,Vegetative
27.3,51.0,13.4,6,clay,organic,Fruiting
22.2,55.9,7.0,4,loamy,chemical,Vegetative
27.6,62.6,13.9,6,clay,chemical,Fruiting
26.8,58.2,8.3,5,loamy,chemical,Vegetative
24.3,58.5,8.5,3,loamy,organic,Flowering
26.8,62.4,13.1,5,clay,organic,Fruiting
26.4,61.2,6.3,4,clay,chemical,Vegetative
22.6,46.0,8.9,4,loamy,organic,Flowering
20.2,50.9,10.9,5,loamy,organic,Flowering
27.8,62.5,10.4,6,loamy,chemical,Fruiting
20.3,72.8,5.1,6,loamy,none,Seedling
21.4,56.2,9.9,3,loamy,organic,Flowering
22.6,72.4,5.5,6,sandy,none,Seedling
20.7,54.5,9.9,5,loamy,chemical,Flowering
25.8,51.5,9.3,4,loamy,chemical,Flowering
26.0,66.5,7.6,5,loamy,chemical,Vegetative
29.7,55.8,9.7,5,loamy,chemical,Fruiting
23.3,74.2,4.7,5,loamy,none,Seedling
26.3,66.5,6.6,4,loamy,chemical,Vegetative
24.4,59.9,12.1,6,clay,chemical,Fruiting
25.0,63.0,7.4,5,loamy,organic,Vegetative
22.1,55.3,8.7,4,clay,chemical,Vegetative
