Temperature,Humidity,Sunlight_Hours,Water_Frequency,Soil_Type,Fertilizer_Type,Growth_Stage
27.8,67.4,8.6,4,clay,chemical,Vegetative
21.6,50.9,8.3,5,loamy,organic,Flowering
20.1,72.1,6.6,6,sandy,organic,Seedling
19.9,75.1,5.0,7,sandy,none,Seedling
18.9,79.5,4.4,7,loamy,organic,Seedling
23.1,48.9,11.0,5,loamy,organic,Flowering
24.5,58.8,12.7,4,clay,chemical,Fruiting
23.6,78.2,5.8,5,loamy,organic,Seedling
21.1,65.3,5.3,6,loamy,organic,Seedling
29.6,55.8,12.3,5,clay,organic,Fruiting
24.5,67.2,8.2,6,clay,organic,Vegetative
26.2,52.5,10.4,5,loamy,organic,Fruiting
23.4,53.4,10.7,5,loamy,chemical,Flowering
22.5,56.1,8.6,5,loamy,chemical,Flowering
23.0,55.0,11.8,5,loamy,organic,Flowering
27.0,56.0,8.0,5,clay,chemical,Vegetative
24.9,62.9,7.4,5,clay,organic,Vegetative
22.9,51.4,9.6,5,loamy,organic,Flowering
26.0,61.6,6.8,4,clay,chemical,Vegetative
19.7,66.7,5.9,7,sandy,none,Seedling
19.4,66.2,5.7,5,sandy,organic,Seedling
27.3,54.8,12.8,4,clay,chemical,Fruiting
27.1,63.8,7.9,4,loamy,chemical,Vegetative
21.2,49.6,9.1,4,loamy,organic,Flowering
22.2,51.8,8.2,4,loamy,chemical,Flowering
23.8,75.1,4.3,6,sandy,organic,Seedling
20.0,55.1,8.3,5,loamy,chemical,Flowering
23.3,52.0,9.6,3,loamy,organic,Flowering
27.2,61.2,8.6,5,loamy,chemical,Vegetative
27.6,55.5,10.8,4,clay,organic,Fruiting
21.0,72.5,6.2,7,loamy,organic,Seedling
23.4,64.8,7.9,6,clay,organic,Vegetative
24.6,52.8,11.7,4,loamy,chemical,Flowering
23.4,57.3,8.3,6,clay,chemical,Vegetative
24.9,52.2,9.4,5,clay,chemical,Fruiting
24.9,52.9,10.7,4,loamy,organic,Fruiting
22.7,55.9,6.2,5,loamy,organic,Vegetative
19.7,70.0,6.2,5,sandy,none,Seedling
22.1,51.1,8.7,4,loamy,chemical,Flowering
22.9,65.8,5.3,6,loamy,organic,Seedling
20.3,52.0,11.9,4,loamy,chemical,Flowering
23.6,64.2,7.4,5,clay,organic,Vegetative
21.8,55.6,9.5,4,loamy,organic,Flowering
29.9,58.6,11.2,4,clay,chemical,Fruiting
24.3,56.1,8.4,5,clay,organic,Vegetative
21.5,53.4,8.7,3,loamy,chemical,Flowering
22.6,64.6,6.9,6,loamy,organic,Vegetative
24.3,55.4,9.4,5,loamy,organic,Flowering
27.9,51.6,12.7,4,clay,chemical,Fruiting
20.6,47.8,9.5,5,loamy,organic,Flowering
22.1,74.5,4.8,6,sandy,none,Seedling
19.0,84.9,4.4,6,loamy,organic,Seedling
23.6,72.2,5.2,7,loamy,none,Seedling
25.2,46.0,10.6,5,loamy,chemical,Flowering
24.8,62.1,11.2,5,loamy,chemical,Fruiting
25.6,59.6,13.0,4,loamy,chemical,Fruiting
23.0,55.3,11.4,3,loamy,chemical,Flowering
28.7,62.8,10.6,5,clay,organic,Fruiting
23.4,65.3,6.9,4,loamy,organic,Vegetative
23.9,67.2,4.4,5,loamy,none,Seedling
21.3,51.9,8.2,4,loamy,organic,Flowering
21.5,55.0,10.9,3,loamy,organic,Flowering
20.4,54.0,9.2,5,loamy,organic,Flowering
21.3,67.6,4.7,7,sandy,none,Seedling
21.5,54.6,9.6,5,loamy,organic,Flowering
29.4,63.1,10.6,4,clay,chemical,Fruiting
25.4,54.8,8.1,5,loamy,chemical,Flowering
20.5,50.7,10.0,5,loamy,chemical,Flowering
25.6,56.8,8.3,4,clay,chemical,Vegetative
25.3,52.3,10.9,6,loamy,chemical,Fruiting
21.8,56.0,8.8,4,loamy,organic,Flowering
20.1,52.3,10.0,3,loamy,organic,Flowering
21.1,68.5,4.8,7,loamy,organic,Seedling
23.2,82.8,6.4,5,loamy,organic,Seedling
22.3,61.9,6.4,4,clay,chemical,Vegetative
21.3,73.1,4.6,5,loamy,organic,Seedling
27.9,64.9,9.7,4,loamy,chemical,Fruiting
26.5,63.1,9.0,5,loamy,chemical,Fruiting
18.6,74.1,4.5,7,sandy,organic,Seedling
23.2,74.0,6.8,5,loamy,none,Seedling
29.9,62.2,12.6,4,loamy,organic,Fruiting
21.6,54.9,8.4,5,loamy,chemical,Flowering
25.9,59.4,11.6,3,loamy,chemical,Flowering
20.0,77.6,6.1,6,loamy,organic,Seedling
23.0,61.0,7.8,4,clay,organic,Vegetative
24.4,58.7,8.3,5,clay,chemical,Vegetative
26.0,61.2,6.8,4,clay,organic,Vegetative
29.3,60.5,9.3,4,clay,chemical,Fruiting
30.0,58.2,11.4,6,clay,chemical,Fruiting
22.4,48.3,9.8,5,loamy,chemical,Flowering
28.1,60.9,12.6,4,clay,organic,Fruiting
23.4,59.9,6.9,4,clay,organic,Vegetative
25.9,62.3,7.4,4,clay,organic,Vegetative
22.0,77.3,6.7,6,loamy,none,Seedling
22.6,57.5,6.4,4,loamy,chemical,Vegetative
22.6,74.4,5.6,5,loamy,organic,Seedling
28.0,53.8,13.9,5,clay,chemical,Fruiting
18.1,84.4,6.5,6,sandy,none,Seedling
19.8,73.2,4.2,7,sandy,none,Seedling
23.4,66.4,7.3,4,loamy,organic,Vegetative
21.3,72.5,6.4,6,sandy,organic,Seedling
23.4,77.4,5.8,5,sandy,none,Seedling
22.9,67.4,6.6,5,clay,organic,Vegetative
22.4,69.4,6.8,5,clay,organic,Vegetative
24.9,58.7,13.2,5,loamy,organic,Fruiting
24.1,57.1,13.3,5,loamy,organic,Fruiting
22.1,45.1,11.2,3,loamy,chemical,Flowering
27.6,64.4,13.3,5,loamy,chemical,Fruiting
23.0,58.2,6.2,6,loamy,chemical,Vegetative
26.5,50.4,12.4,4,loamy,organic,Fruiting
18.6,71.6,4.3,6,loamy,organic,Seedling
24.5,56.5,13.3,5,clay,chemical,Fruiting
24.2,57.8,9.4,4,loamy,organic,Flowering
26.8,50.1,10.2,6,loamy,organic,Fruiting
19.5,74.4,6.8,5,loamy,organic,Seedling
19.2,76.1,5.4,6,sandy,organic,Seedling
20.3,74.9,4.1,7,loamy,none,Seedling
25.8,56.4,11.9,4,clay,organic,Fruiting
26.8,67.0,8.6,4,clay,chemical,Vegetative
29.5,59.9,12.6,5,loamy,chemical,Fruiting
27.6,67.0,8.0,6,clay,organic,Vegetative
21.8,82.3,5.4,5,loamy,none,Seedling
18.6,79.1,4.7,5,loamy,none,Seedling
20.6,51.6,11.8,4,loamy,chemical,Flowering
24.3,50.9,8.9,3,loamy,organic,Flowering
30.0,61.8,11.5,5,clay,organic,Fruiting
22.3,59.9,8.4,6,clay,chemical,Vegetative
24.1,66.6,8.0,6,clay,chemical,Vegetative
25.8,49.0,8.6,5,loamy,organic,Flowering
24.1,54.1,11.9,6,clay,organic,Fruiting
25.4,47.4,10.4,5,loamy,chemical,Flowering
18.4,65.3,5.5,6,sandy,none,Seedling
29.3,61.0,12.7,5,clay,chemical,Fruiting
26.4,59.0,12.0,4,clay,organic,Fruiting
20.0,74.3,4.1,7,loamy,none,Seedling
27.3,59.1,9.6,5,clay,chemical,Fruiting
25.0,60.6,12.8,4,loamy,organic,Fruiting
27.1,56.2,9.2,5,clay,chemical,Fruiting
26.3,63.3,6.3,4,clay,chemical,Vegetative
27.1,56.2,13.1,4,clay,organic,Fruiting
29.2,59.8,10.6,6,loamy,chemical,Fruiting
29.4,63.7,11.9,5,loamy,organic,Fruiting
29.4,53.8,10.0,5,loamy,chemical,Fruiting
25.8,46.1,9.3,3,loamy,chemical,Flowering
24.3,55.4,6.3,4,clay,chemical,Vegetative
20.2,67.4,4.5,7,loamy,none,Seedling
23.5,52.4,10.8,5,loamy,chemical,Flowering
26.8,53.5,10.5,6,clay,chemical,Fruiting
21.8,79.9,4.7,7,loamy,none,Seedling
25.4,50.6,11.3,5,loamy,organic,Flowering
22.0,49.6,8.3,4,loamy,organic,Flowering
25.7,62.2,9.4,4,clay,chemical,Fruiting
23.6,55.4,8.2,3,loamy,chemical,Flowering
24.4,50.5,11.0,3,loamy,organic,Flowering
24.6,63.0,9.4,5,loamy,organic,Fruiting
28.5,64.2,11.2,4,loamy,organic,Fruiting
18.9,73.5,5.9,7,loamy,organic,Seedling
29.1,50.3,10.3,5,clay,chemical,Fruiting
29.5,57.3,13.6,4,loamy,chemical,Fruiting
23.2,63.3,8.9,4,clay,chemical,Vegetative
19.0,84.0,5.8,7,sandy,organic,Seedling
23.8,73.3,5.0,5,loamy,organic,Seedling
29.0,57.4,11.8,4,clay,chemical,Fruiting
22.6,58.6,11.7,5,loamy,organic,Flowering
21.1,81.5,4.4,7,sandy,organic,Seedling
27.7,59.0,6.6,5,clay,chemical,Vegetative
26.9,64.9,6.4,4,loamy,chemical,Vegetative
24.3,54.2,8.2,4,loamy,organic,Flowering
24.4,61.4,7.5,4,clay,organic,Vegetative
25.4,60.4,10.6,5,loamy,organic,Fruiting
25.2,62.3,11.9,5,loamy,organic,Fruiting
20.2,46.0,10.8,4,loamy,organic,Flowering
21.2,80.0,6.2,7,loamy,none,Seedling
23.4,68.3,6.2,6,sandy,none,Seedling
19.4,76.2,6.8,7,loamy,organic,Seedling
25.6,55.6,6.9,5,loamy,chemical,Vegetative
24.1,53.5,9.4,5,loamy,organic,Fruiting
22.0,81.5,6.8,7,sandy,organic,Seedling
27.2,57.7,11.8,4,loamy,organic,Fruiting
25.7,53.1,12.0,5,loamy,chemical,Flowering
29.9,51.0,10.1,5,clay,organic,Fruiting
21.5,84.9,4.4,6,sandy,organic,Seedling
21.6,80.9,5.5,5,sandy,none,Seedling
22.4,67.4,6.4,5,loamy,organic,Seedling
19.8,82.1,5.6,7,sandy,organic,Seedling
23.5,64.2,6.9,5,clay,chemical,Vegetative
26.0,56.1,8.9,3,loamy,chemical,Flowering
19.9,76.2,6.7,5,sandy,organic,Seedling
24.0,60.5,8.3,4,clay,chemical,Vegetative
25.3,51.5,8.5,3,loamy,chemical,Flowering
27.4,50.6,12.7,5,loamy,chemical,Fruiting
21.6,54.5,9.8,4,loamy,organic,Flowering
27.5,67.6,8.7,4,clay,chemical,Vegetative
22.9,53.8,9.0,3,loamy,chemical,Flowering
24.3,52.3,11.6,4,loamy,organic,Fruiting
29.0,51.9,10.6,6,loamy,chemical,Fruiting
26.2,54.9,11.1,6,loamy,organic,Fruiting
18.8,67.7,5.6,5,sandy,none,Seedling
23.6,55.1,12.0,3,loamy,organic,Flowering
19.3,68.4,6.7,7,loamy,none,Seedling
28.5,53.1,12.8,6,loamy,chemical,Fruiting
24.4,66.6,7.0,4,clay,chemical,Vegetative
23.4,80.5,4.4,5,sandy,none,Seedling
27.9,53.9,11.9,4,clay,chemical,Fruiting
23.6,63.2,8.5,6,loamy,organic,Vegetative
27.6,56.8,9.9,5,loamy,organic,Fruiting
27.5,50.8,10.4,4,loamy,chemical,Fruiting
25.9,45.3,9.7,3,loamy,chemical,Flowering
25.1,54.1,10.5,3,loamy,chemical,Flowering
25.4,53.7,11.4,6,clay,organic,Fruiting
28.2,63.3,11.4,5,clay,chemical,Fruiting
27.1,60.0,6.1,6,clay,organic,Vegetative
21.9,56.0,11.3,3,loamy,chemical,Flowering
24.0,63.3,10.6,6,loamy,organic,Fruiting
29.8,52.1,12.5,5,clay,organic,Fruiting
25.3,63.5,7.5,6,loamy,chemical,Vegetative
23.4,48.3,8.9,3,loamy,organic,Flowering
25.3,52.6,8.8,5,loamy,chemical,Flowering
27.9,51.8,11.5,5,clay,organic,Fruiting
21.0,80.1,5.6,6,sandy,none,Seedling
21.7,84.7,5.2,6,loamy,organic,Seedling
26.0,51.2,10.5,6,loamy,organic,Fruiting
28.3,52.5,13.3,6,clay,chemical,Fruiting
23.8,61.7,6.3,4,loamy,chemical,Vegetative
22.4,65.2,7.6,4,loamy,chemical,Vegetative
29.3,59.0,10.5,4,loamy,organic,Fruiting
24.8,58.8,11.3,4,loamy,chemical,Fruiting
27.7,50.9,12.4,4,clay,organic,Fruiting
23.5,49.0,11.9,5,loamy,organic,Flowering
23.4,68.8,6.3,4,clay,organic,Vegetative
22.9,65.9,5.8,6,loamy,none,Seedling
21.6,57.6,9.3,5,loamy,organic,Flowering
19.8,72.4,5.5,6,loamy,organic,Seedling
24.7,48.3,9.0,3,loamy,chemical,Flowering
28.7,64.5,11.9,6,clay,chemical,Fruiting
23.4,66.6,5.7,7,sandy,none,Seedling
21.5,47.9,8.1,4,loamy,organic,Flowering
22.8,70.2,4.7,7,sandy,none,Seedling
20.2,71.9,5.2,6,loamy,organic,Seedling
30.0,54.9,11.2,5,clay,chemical,Fruiting
24.2,66.1,8.9,5,loamy,chemical,Vegetative
19.9,66.8,4.2,6,loamy,none,Seedling
19.0,71.2,5.7,7,loamy,organic,Seedling
21.7,53.2,10.7,4,loamy,organic,Flowering
20.6,67.3,4.3,6,loamy,none,Seedling
28.1,51.3,12.6,4,loamy,chemical,Fruiting
26.0,59.7,8.6,4,loamy,organic,Vegetative
23.1,54.8,8.8,3,loamy,chemical,Flowering
23.1,68.0,5.0,7,sandy,none,Seedling
24.4,55.1,10.3,5,loamy,chemical,Flowering
23.7,75.6,4.8,5,sandy,organic,Seedling
23.6,84.0,5.4,6,sandy,none,Seedling
20.4,48.7,11.7,5,loamy,chemical,Flowering
25.1,57.9,11.6,4,loamy,chemical,Fruiting
26.4,54.1,13.9,5,clay,organic,Fruiting
26.3,63.7,7.7,5,loamy,organic,Vegetative
23.4,56.8,10.4,5,loamy,organic,Flowering
25.1,60.2,11.8,4,loamy,chemical,Fruiting
25.5,64.3,6.2,5,loamy,organic,Vegetative
21.7,53.2,9.8,3,loamy,chemical,Flowering
20.9,50.3,10.6,3,loamy,chemical,Flowering
27.3,50.8,9.2,5,loamy,chemical,Fruiting
24.0,55.7,8.1,4,loamy,organic,Flowering
20.1,45.2,10.6,4,loamy,chemical,Flowering
28.1,63.5,9.4,5,loamy,chemical,Fruiting
28.7,55.8,12.5,6,clay,chemical,Fruiting
22.6,51.8,9.9,5,loamy,chemical,Flowering
22.9,57.1,10.3,5,loamy,chemical,Flowering
25.9,57.8,13.1,4,clay,chemical,Fruiting
27.0,57.2,8.5,4,loamy,organic,Vegetative
23.1,58.9,9.8,5,loamy,chemical,Flowering
22.7,60.0,6.7,6,clay,chemical,Vegetative
26.0,65.8,6.9,4,loamy,organic,Vegetative
28.8,50.9,10.4,4,clay,chemical,Fruiting
24.1,63.4,6.1,5,clay,chemical,Vegetative
23.3,45.9,9.2,4,loamy,chemical,Flowering
26.1,54.4,11.5,4,clay,organic,Fruiting
22.6,63.1,8.5,4,loamy,organic,Vegetative
21.0,83.6,5.8,5,sandy,none,Seedling
27.3,59.3,10.6,6,clay,chemical,Fruiting
22.5,70.0,8.6,6,loamy,chemical,Vegetative
25.9,50.3,11.0,3,loamy,chemical,Flowering
22.4,49.7,10.4,5,loamy,chemical,Flowering
25.7,56.4,8.7,5,loamy,chemical,Flowering
26.9,55.2,9.7,4,loamy,chemical,Fruiting
18.6,83.2,6.8,6,loamy,none,Seedling
22.0,64.6,8.7,5,loamy,organic,Vegetative
25.8,56.9,10.0,4,loamy,organic,Flowering
25.8,46.2,8.8,4,loamy,organic,Flowering
24.3,56.0,8.5,4,loamy,chemical,Vegetative
24.2,46.7,8.5,4,loamy,chemical,Flowering
29.8,60.8,10.0,5,loamy,organic,Fruiting
24.8,58.6,11.7,6,loamy,organic,Fruiting
20.6,46.2,10.5,4,loamy,organic,Flowering
23.7,46.5,11.4,5,loamy,chemical,Flowering
28.7,61.4,11.4,5,clay,chemical,Fruiting
21.4,47.4,9.3,5,loamy,chemical,Flowering
21.7,56.5,11.3,3,loamy,chemical,Flowering
18.2,80.0,4.5,7,sandy,organic,Seedling
25.2,48.1,8.8,3,loamy,chemical,Flowering
24.8,56.1,7.9,6,clay,organic,Vegetative
22.6,58.1,7.7,6,clay,chemical,Vegetative
26.8,50.9,11.4,5,clay,organic,Fruiting
28.6,56.6,13.2,5,clay,organic,Fruiting
24.8,61.1,13.6,5,loamy,chemical,Fruiting
25.1,56.9,9.8,5,loamy,organic,Flowering
21.9,79.0,6.1,7,sandy,organic,Seedling
23.7,66.7,5.1,5,sandy,organic,Seedling
26.6,61.2,10.7,6,loamy,organic,Fruiting
18.7,74.8,4.1,6,sandy,organic,Seedling
29.4,59.8,11.7,5,loamy,chemical,Fruiting
22.8,81.3,4.7,6,sandy,organic,Seedling
26.7,60.9,7.0,6,clay,chemical,Vegetative
19.7,67.6,4.3,6,sandy,none,Seedling
26.6,56.5,9.0,5,clay,chemical,Vegetative
25.3,61.9,7.4,5,clay,organic,Vegetative
26.9,62.2,6.1,4,clay,organic,Vegetative
24.4,54.4,12.5,5,loamy,organic,Fruiting
20.7,59.0,11.0,5,loamy,organic,Flowering
25.9,68.1,8.4,6,loamy,chemical,Vegetative
19.7,83.8,4.3,5,loamy,organic,Seedling
19.1,81.7,6.6,6,loamy,organic,Seedling
25.7,63.6,13.3,4,loamy,organic,Fruiting
25.0,66.4,6.9,5,loamy,organic,Vegetative
25.4,61.9,8.3,6,loamy,organic,Vegetative
21.3,70.6,5.2,6,sandy,none,Seedling
22.2,58.1,9.2,3,loamy,chemical,Flowering
20.0,72.5,5.8,7,loamy,organic,Seedling
25.0,57.6,8.8,5,loamy,organic,Flowering
27.1,53.8,9.1,4,loamy,organic,Fruiting
23.7,49.0,8.1,4,loamy,organic,Flowering
25.8,67.2,6.8,6,loamy,organic,Vegetative
23.1,55.2,11.6,4,loamy,chemical,Flowering
21.1,74.5,4.6,6,sandy,none,Seedling
28.9,63.4,9.2,6,loamy,chemical,Fruiting
26.8,56.8,7.4,5,clay,organic,Vegetative
24.0,51.5,8.6,5,loamy,organic,Flowering
19.8,72.0,6.8,6,sandy,none,Seedling
24.3,59.4,10.5,4,loamy,organic,Fruiting
18.5,75.7,4.5,6,sandy,none,Seedling
21.8,78.0,4.9,6,loamy,none,Seedling
21.3,48.4,11.4,5,loamy,organic,Flowering
23.4,62.7,6.6,6,loamy,organic,Vegetative
22.5,50.3,8.2,3,loamy,organic,Flowering
28.4,53.1,11.8,4,clay,chemical,Fruiting
25.3,64.6,7.6,5,loamy,chemical,Vegetative
28.9,58.5,11.8,5,loamy,organic,Fruiting
25.4,64.9,11.0,5,loamy,organic,Fruiting
26.2,55.4,13.3,4,clay,chemical,Fruiting
18.1,68.3,6.2,7,sandy,organic,Seedling
23.8,65.9,4.3,5,sandy,none,Seedling
21.2,48.1,9.2,5,loamy,organic,Flowering
27.4,66.8,7.1,4,clay,chemical,Vegetative
24.9,51.5,9.3,6,loamy,chemical,Fruiting
22.3,73.3,5.3,6,sandy,none,Seedling
21.2,45.5,11.1,5,loamy,chemical,Flowering
27.6,69.0,7.7,5,loamy,organic,Vegetative
22.1,52.6,11.3,5,loamy,organic,Flowering
23.7,77.1,6.0,5,loamy,none,Seedling
19.3,84.3,4.2,7,sandy,organic,Seedling
27.1,64.6,7.3,4,loamy,organic,Vegetative
21.5,55.2,11.5,3,loamy,organic,Flowering
26.8,58.8,9.0,5,loamy,chemical,Vegetative
19.9,70.7,6.3,7,sandy,none,Seedling
22.2,56.3,9.1,4,loamy,organic,Flowering
21.7,76.0,4.6,6,loamy,none,Seedling
24.0,57.3,12.0,4,loamy,organic,Flowering
25.0,53.1,10.0,6,clay,organic,Fruiting
24.4,52.3,10.2,4,loamy,organic,Flowering
24.2,66.0,8.5,4,loamy,organic,Vegetative
25.2,61.8,10.4,5,clay,chemical,Fruiting
25.7,48.9,11.1,4,loamy,chemical,Flowering
28.8,64.1,11.1,4,clay,organic,Fruiting
19.5,82.8,6.8,6,sandy,organic,Seedling
28.8,56.2,12.7,5,clay,organic,Fruiting
20.4,52.7,10.3,4,loamy,chemical,Flowering
23.9,55.1,6.3,5,clay,organic,Vegetative
29.9,54.7,13.8,4,loamy,organic,Fruiting
24.5,69.1,8.9,4,loamy,organic,Vegetative
25.8,53.7,11.6,5,loamy,chemical,Flowering
20.5,48.7,9.3,3,loamy,organic,Flowering
23.1,76.0,4.6,5,sandy,organic,Seedling
18.8,79.3,4.6,6,loamy,organic,Seedling
27.7,59.3,7.0,4,clay,chemical,Vegetative
22.8,67.9,6.1,6,loamy,organic,Seedling
24.2,56.8,9.2,6,clay,chemical,Fruiting
26.8,65.3,6.7,4,clay,organic,Vegetative
21.1,46.0,11.8,4,loamy,chemical,Flowering
22.8,57.0,7.8,4,loamy,chemical,Vegetative
25.5,50.1,8.6,5,loamy,chemical,Flowering
20.5,67.9,4.5,5,loamy,organic,Seedling
23.6,55.4,9.4,3,loamy,organic,Flowering
27.7,54.8,11.8,4,loamy,organic,Fruiting
21.8,68.5,4.8,6,sandy,none,Seedling
25.0,56.8,7.7,6,loamy,chemical,Vegetative
24.5,61.9,7.0,6,clay,organic,Vegetative
23.4,80.8,4.5,5,loamy,none,Seedling
26.2,51.0,10.8,5,clay,organic,Fruiting
29.5,58.8,13.0,4,loamy,chemical,Fruiting
24.8,56.2,10.2,5,loamy,chemical,Fruiting
24.2,55.7,8.6,3,loamy,organic,Flowering
26.4,50.0,12.1,5,loamy,chemical,Fruiting
